l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
1,4,0,6,-2,0,7,-48,0,-0.0012960421937048758,0.0011210385021110606,0.0001743569368572315,-6.467547365837569e-07,6.508521927427417,1,48,6.508521927427417,1754.614576524145
4,3,0,2,3,0,6,-69,0,-0.00150612480128053,0.001398386150657986,0.00010673964786981142,-9.990027527325123e-07,9.091894031248664,1,69,9.091894031248664,971.4021680944169
6,-2,0,6,-5,0,12,-58,0,-0.0011210385021110606,0.0008822153106829276,0.000239496343049413,6.731516212800642e-07,7.7289917484585775,1,58,7.7289917484585775,2749.8294797837493
5,5,0,6,4,0,11,-75,0,-0.0019862555038104063,0.0018116043345837844,0.00017275719212518376,-1.8939771014381615e-06,12.599224100198569,1,75,12.599224100198569,1149.2115415073338
3,4,0,5,3,0,6,-61,0,-0.0016697023644453982,0.001548847611724769,0.00012030988074646524,-5.448719741639897e-07,5.825845759501889,1,61,5.825845759501889,1286.3541602928592
4,4,0,6,2,0,10,-90,0,-0.0017201142970912078,0.0015907002056791103,0.0001321566464763085,2.7425550642109792e-06,21.04684681742868,1,90,21.04684681742868,1014.1007606533622
1,6,0,6,2,0,7,-70,0,-0.0017098504656313984,0.0015907002056791103,0.00012107724047444094,1.9269805221528054e-06,15.35008082048008,1,70,15.35008082048008,964.4780348587292
4,4,0,6,2,0,8,-75,0,-0.0017201142970912078,0.0015907002056791103,0.0001284101572799355,-1.0039341321621022e-06,9.082645259944934,1,75,9.082645259944934,1161.6771794710546
4,4,0,6,2,0,10,-95,0,-0.0017201142970912078,0.0015907002056791103,0.00012537430614151615,-4.039785270581369e-06,30.086333195661066,1,95,30.086333195661066,933.5276853635902
6,4,0,4,3,0,10,-37,0,-0.0018116043345837844,0.00150612480128053,0.00030490399632597244,-5.755369772819218e-07,5.54036984401108,1,37,5.54036984401108,2935.1385867776817
0,4,0,6,-67,0,6,-2,0,-0.0012318460189154454,0.00010963936035165052,0.0011210385021110606,-1.1681564527341905e-06,11.663999694037518,1,67,11.663999694037518,11193.412723964804
2,2,0,4,-1,0,6,-49,0,-0.00120515078399613,0.0010553705459852385,0.0001491496086326662,-6.306293782254793e-07,6.433884888248859,1,49,6.433884888248859,1521.6704324707405
2,5,0,6,2,0,8,-44,0,-0.0018048401012071306,0.0015907002056791103,0.0002131214227978652,-1.0184727301551337e-06,8.80814933194571,1,44,8.80814933194571,1843.1568455129568
4,4,0,4,3,0,8,-44,0,-0.0017201142970912078,0.00150612480128053,0.0002131214227978652,-8.680730128125987e-07,7.535782684083178,1,44,7.535782684083178,1850.1166506908085
2,7,0,4,5,0,6,-62,0,-0.0020529873759919655,0.0019351014156810539,0.00011867868913644012,7.92728825528468e-07,4.652511935544316,1,62,4.652511935544316,696.5141464853069
6,4,0,3,4,0,9,-75,0,-0.0018116043345837844,0.0016697023644453982,0.00014329330938104884,1.3913392426627164e-06,10.931919531418364,1,75,10.931919531418364,1125.8454425189195
5,5,0,0,7,0,5,-41,0,-0.0019862555038104063,0.001837851339960868,0.00014892361035738586,5.19446507847663e-07,4.169370013548133,1,41,4.169370013548133,1195.3443823635707
4,3,0,2,3,0,4,-47,0,-0.00150612480128053,0.001398386150657986,0.00010735280104432215,-3.858495782216743e-07,3.592663272891166,1,47,3.592663272891166,999.5638846384073
3,5,0,5,4,0,8,-88,0,-0.0018791792959005039,0.0017666927178038535,0.00010970579082919099,-2.7807872674593098e-06,18.309828713302785,1,88,18.309828713302785,722.2807852178249
