t_yr,E_P,E_Q,E_c,E_d
16.726995103658226,3.4091126383139733e-09,3.4091126383139733e-09,6.176886757843112e-08,4.2407642813295756e-09
16.733961782168702,3.4091126383139733e-09,3.4091126383139733e-09,6.404947911835169e-08,4.196202075571032e-09
16.74092846067918,3.4091126383139733e-09,3.4091126383139733e-09,6.637256620803182e-08,4.1567238499628845e-09
16.74789513918966,3.4091126383139733e-09,3.4091126383139733e-09,6.873784688128605e-08,4.122197673748772e-09
16.754861817700135,3.4091126383139733e-09,3.4091126383139733e-09,7.114502498976054e-08,4.092508459197561e-09
16.761828496210615,3.4091126383139733e-09,3.4091126383139733e-09,7.359378980349658e-08,4.067557362983395e-09
16.76879517472109,3.4091126383139733e-09,3.4091126383139733e-09,7.608381554581706e-08,4.0472612720843885e-09
16.77576185323157,3.4091126383139733e-09,3.4091126383139733e-09,7.861476086113913e-08,4.03155237084077e-09
16.78272853174205,3.4091126383139733e-09,3.4091126383139733e-09,8.118626821376374e-08,4.020377786376858e-09
16.78969521025253,3.4091126383139733e-09,3.4091126383139733e-09,8.379796321508189e-08,4.013699310136221e-09
16.796661888763005,3.4091126383139733e-09,3.4091126383139733e-09,8.644945387550147e-08,4.011493193620858e-09
16.803628567273485,3.4091126383139733e-09,3.4091126383139733e-09,8.914032977635901e-08,4.013750016461926e-09
16.81059524578396,3.4091126383139733e-09,3.4091126383139733e-09,9.187016116233696e-08,4.020474626700659e-09
16.81756192429444,3.4091126383139733e-09,3.4091126383139733e-09,9.463849794605017e-08,4.031686152146278e-09
16.824528602804918,3.4091126383139733e-09,3.4091126383139733e-09,9.744486862153354e-08,4.04741808304918e-09
16.831495281315394,3.4091126383139733e-09,3.4091126383139733e-09,1.0028877908107197e-07,4.067718426187058e-09
16.838461959825874,3.4091126383139733e-09,3.4091126383139733e-09,1.0316971132932578e-07,4.092649931185847e-09
16.845428638336355,3.4091126383139733e-09,3.4091126383139733e-09,1.0608712208822045e-07,4.122290390371963e-09
16.85239531684683,3.4091126383139733e-09,3.4091126383139733e-09,1.0904044128550975e-07,4.156733013922121e-09
16.859361995357308,3.4091126383139733e-09,3.4091126383139733e-09,1.1202907041940993e-07,4.196086882558718e-09
16.866328673867788,3.4091126383139733e-09,3.4091126383139733e-09,1.1505238079119203e-07,4.240477480535491e-09
16.873295352378268,3.4091126383139733e-09,3.4091126383139733e-09,1.1810971159662224e-07,4.2900473116819716e-09
16.880262030888744,3.4091126383139733e-09,3.4091126383139733e-09,1.2120036786034617e-07,4.344956599480327e-09
16.88722870939922,3.4091126383139733e-09,3.4091126383139733e-09,1.243236182132968e-07,4.405384080887836e-09
16.8941953879097,3.4091126383139733e-09,3.4091126383139733e-09,1.2747869249400917e-07,4.47152789384103e-09
16.901162066420177,3.4091126383139733e-09,3.4091126383139733e-09,1.3066477915848013e-07,4.543606565723633e-09
16.908128744930657,3.4091126383139733e-09,3.4091126383139733e-09,1.3388102249126355e-07,4.621860107158225e-09
16.915095423441137,3.4091126383139733e-09,3.4091126383139733e-09,1.3712651960120094e-07,4.706551217379768e-09
16.922062101951614,3.4091126383139733e-09,3.4091126383139733e-09,1.4040031718423475e-07,4.797966608278784e-09
16.92902878046209,3.4091126383139733e-09,3.4091126383139733e-09,1.437014080350518e-07,4.896418454811818e-09
16.93599545897257,3.4091126383139733e-09,3.4091126383139733e-09,1.470287272886419e-07,5.002245980123124e-09
16.94296213748305,3.4091126383139733e-09,3.4091126383139733e-09,1.5038114837231705e-07,5.1158171844075195e-09
16.949928815993527,3.4091126383139733e-09,3.4091126383139733e-09,1.5375747864891097e-07,5.237530726716863e-09
16.956895494504003,3.4091126383139733e-09,3.4091126383139733e-09,1.5715645473267234e-07,5.3678179612133625e-09
16.963862173014483,3.4091126383139733e-09,3.4091126383139733e-09,1.605767374381133e-07,5.507145153212541e-09
16.97082885152496,3.4091126383139733e-09,3.4091126383139733e-09,1.6401690635559913e-07,5.656015877295635e-09
16.97779553003544,3.4091126383139733e-09,3.4091126383139733e-09,1.6747545399942342e-07,5.814973611908114e-09
16.984762208545916,3.4091126383139733e-09,3.4091126383139733e-09,1.7095077952327432e-07,5.984604541244281e-09
16.991728887056397,3.4091126383139733e-09,3.4091126383139733e-09,1.744411819702596e-07,6.1655405766401014e-09
16.998695565566873,3.4091126383139733e-09,3.4091126383139733e-09,1.7794485301916816e-07,6.358462611788655e-09
17.005662244077353,3.4091126383139733e-09,3.4091126383139733e-09,1.8145986918813236e-07,6.564104026625379e-09
17.012628922587833,3.4091126383139733e-09,3.4091126383139733e-09,1.849841834565398e-07,6.783254455231541e-09
17.01959560109831,3.4091126383139733e-09,3.4091126383139733e-09,1.8851561626608312e-07,7.016763833566335e-09
17.02656227960879,3.4091126383139733e-09,3.4091126383139733e-09,1.9205184587598853e-07,7.265546738214448e-09
17.033528958119266,3.4091126383139733e-09,3.4091126383139733e-09,1.9559039808384423e-07,7.530587006253532e-09
17.040495636629743,3.4091126383139733e-09,3.4091126383139733e-09,1.9912863515120796e-07,7.812942699014362e-09
17.047462315140223,3.4091126383139733e-09,3.4091126383139733e-09,2.0266374398665875e-07,8.113751382979143e-09
17.0544289936507,3.4091126383139733e-09,3.4091126383139733e-09,2.0619272349575586e-07,8.434235753235435e-09
17.061395672161176,3.4091126383139733e-09,3.4091126383139733e-09,2.0971237111321454e-07,8.775709598943841e-09
17.068362350671656,3.4091126383139733e-09,3.4091126383139733e-09,2.1321926847022911e-07,9.139584115724461e-09
17.075329029182132,3.4091126383139733e-09,3.4091126383139733e-09,2.1670976614696436e-07,9.5273745684065e-09
17.082295707692616,3.4091126383139733e-09,3.4091126383139733e-09,2.201799674638722e-07,9.940707304010366e-09
17.089262386203092,3.4091126383139733e-09,3.4091126383139733e-09,2.2362571127016e-07,1.0381327110511875e-08
17.09622906471357,3.4091126383139733e-09,3.4091126383139733e-09,2.2704255372744738e-07,1.0851104903301163e-08
17.10319574322405,3.4091126383139733e-09,3.4091126383139733e-09,2.3042574936855554e-07,1.1352045639789087e-08
17.110162421734525,3.4091126383139733e-09,3.4091126383139733e-09,2.3377023094301575e-07,1.1886296542493297e-08
17.117129100245005,3.4091126383139733e-09,3.4091126383139733e-09,2.3707058837662773e-07,1.2456155506342454e-08
17.124095778755482,3.4091126383139733e-09,3.4091126383139733e-09,2.4032104688135065e-07,1.3064079622896992e-08
17.13106245726596,3.4091126383139733e-09,3.4091126383139733e-09,2.435154442672871e-07,1.3712693737889903e-08
17.13802913577644,3.4091126383139733e-09,3.4091126383139733e-09,2.46647207540423e-07,1.4404798929661475e-08
17.144995814286915,3.4091126383139733e-09,3.4091126383139733e-09,2.497093288833605e-07,1.5143380775123983e-08
17.1519624927974,3.4091126383139733e-09,3.4091126383139733e-09,2.526943413453869e-07,1.593161720355654e-08
17.158929171307875,3.4091126383139733e-09,3.4091126383139733e-09,2.555942943924796e-07,1.6772885739486673e-08
17.16589584981835,3.4091126383139733e-09,3.4091126383139733e-09,2.5840072957222977e-07,1.7670769886405787e-08
17.17286252832883,3.4091126383139733e-09,3.4091126383139733e-09,2.611046567600525e-07,1.862906432772902e-08
